"","Year","Global_Sales"
"1","1983",10.96
"2","1984",45.56
"3","1985",49.95
"4","1986",16.18
"5","1987",11.95
"6","1988",36.44
"7","1989",63.88
"8","1990",35.49
"9","1991",15.97
"10","1992",38.11
"11","1993",20.04
"12","1994",24.99
"13","1995",16.72
"14","1996",73.7
"15","1997",25.8
"16","1998",48.41
"17","1999",65.33
"18","2000",34.05
"19","2001",45.37
"20","2002",48.31
"21","2003",38.14
"22","2004",60.65
"23","2005",127.47
"24","2006",205.61
"25","2007",104.18
"26","2008",91.22
"27","2009",128.89
"28","2010",61.07
"29","2011",51.53
"30","2012",56.47
"31","2013",52.79
"32","2014",48.65
"33","2015",27.08
"34","2016",3.47
