"","Publisher","Global_Sales"
"1","Nintendo",1784.43
"2","Electronic Arts",1093.39
"3","Activision",721.41
"4","Sony Computer Entertainment",607.28
"5","Ubisoft",473.54
"6","Take-Two Interactive",399.3
"7","THQ",340.44
"8","Konami Digital Entertainment",278.56
"9","Sega",270.7
"10","Namco Bandai Games",253.65
"11","Microsoft Game Studios",245.79
"12","Capcom",199.95
"13","Atari",146.77
"14","Square Enix",144.73
"15","Warner Bros. Interactive Entertainment",142.34
"16","Disney Interactive Studios",118.76
"17","Eidos Interactive",96.75
"18","LucasArts",84.95
"19","Bethesda Softworks",81.53
"20","Midway Games",69.29
"21","Acclaim Entertainment",64.14
"22","SquareSoft",57.65
"23","Vivendi Games",56.93
"24","505 Games",55.91
"25","Tecmo Koei",53.55
"26","Codemasters",47.77
"27","Virgin Interactive",43.87
"28","Enix Corporation",33.74
"29","Deep Silver",25.59
"30","GT Interactive",25.23
"31","D3Publisher",24.06
"32","Sony Computer Entertainment Europe",23.89
"33","Hudson Soft",23.01
"34","MTV Games",18.86
"35","Universal Interactive",17.6
"36","Banpresto",17.4
"37","Rising Star Games",17.27
"38","Infogrames",16.18
"39","Majesco Entertainment",15.81
"40","Hasbro Interactive",15.22
"41","Nippon Ichi Software",13.98
"42","989 Studios",13.32
"43","Zoo Digital Publishing",12.87
"44","Atlus",12.74
"45","Level 5",12.17
"46","Empire Interactive",11.14
"47","ASCII Entertainment",10.89
"48","3DO",10.12
"49","Crave Entertainment",9.93
"50","RedOctane",8.68
"51","TDK Mediactive",8.31
"52","Mindscape",7.74
"53","Global Star",7.65
"54","Focus Home Interactive",7.44
"55","Fox Interactive",7.39
"56","Psygnosis",7.27
"57","Activision Value",6.96
"58","Ignition Entertainment",6.66
"59","Interplay",6.66
"60","SouthPeak Games",6.35
"61","Spike",6.15
"62","Red Orb",5.24
"63","Parker Bros.",4.97
"64","Tomy Corporation",4.97
"65","BAM! Entertainment",4.95
"66","Imagic",4.82
"67","Zoo Games",4.82
"68","Arena Entertainment",4.72
"69","Koch Media",4.71
"70","City Interactive",4.58
"71","Ubisoft Annecy",4.46
"72","Nordic Games",4.44
"73","Destineer",4.36
"74","Play It",4.31
"75","PQube",4.27
"76","Marvelous Interactive",4.17
"77","Palcom",4.17
"78","ChunSoft",4.07
"79","Idea Factory",4.01
"80","Game Factory",3.79
"81","Kadokawa Shoten",3.77
"82","Gotham Games",3.72
"83","GSP",3.69
"84","Natsume",3.69
"85","Square",3.64
"86","Ocean",3.61
"87","DTP Entertainment",3.57
"88","Sony Online Entertainment",3.53
"89","SCi",3.52
"90","Mattel Interactive",3.51
"91","Oxygen Interactive",3.45
"92","Takara",3.45
"93","Maxis",3.39
"94","Titus",3.32
"95","Valve Software",3.23
"96","GungHo",3.15
"97","Coleco",3.06
"98","Human Entertainment",3
"99","Avanquest",2.94
"100","Scholastic Inc.",2.91
"101","Mojang",2.89
"102","Black Bean Games",2.87
"103","Taito",2.84
"104","JVC",2.8
"105","Sammy Corporation",2.73
"106","Midas Interactive Entertainment",2.72
"107","Telltale Games",2.72
"108","Takara Tomy",2.7
"109","Ghostlight",2.67
"110","Imagineer",2.65
"111","Alchemist",2.63
"112","SNK",2.59
"113","NCSoft",2.59
"114","Rondomedia",2.58
"115","Compile",2.46
"116","Marvelous Entertainment",2.33
"117","Red Storm Entertainment",2.32
"118","UEP Systems",2.25
"119","Enterbrain",2.23
"120","Mastiff",2.23
"121","Kemco",2.22
"122","Video System",2.18
"123","Little Orbit",2.04
"124","ASC Games",2.02
"125","RTL",2
"126","Microprose",1.98
"127","Success",1.96
"128","Kalypso Media",1.95
"129","20th Century Fox Video Games",1.94
"130","Agetec",1.94
"131","Jaleco",1.94
"132","Nobilis",1.94
"133","Zushi Games",1.89
"134","Metro 3D",1.84
"135","Rocket Company",1.82
"136","System 3 Arcade Software",1.78
"137","Valve",1.74
"138","Mastertronic",1.73
"139","Crystal Dynamics",1.71
"140","Avanquest Software",1.69
"141","Hudson Entertainment",1.69
"142","Accolade",1.68
"143","Xplosiv",1.64
"144","5pb",1.63
"145","From Software",1.63
"146","Hello Games",1.6
"147","Touchstone",1.58
"148","PopCap Games",1.57
"149","LEGO Media",1.56
"150","Storm City Games",1.56
"151","Laguna",1.55
"152","Westwood Studios",1.55
"153","JoWood Productions",1.49
